10.228.85.181 es1-anp-prom9-1-p1 Промышленная, д. 9/к.1
10.228.88.9 d1-anp-prom9-1-p1 Промышленная, д. 9/к.1
10.228.85.254 es1-anp-vlad143-3 Владимирская, д. 143/к.3
10.228.85.195 es1-anp-krylova79 Крылова, д. 79
10.228.85.243 es1-anp-lenina213 Ленина, д. 213
10.228.85.94 es1-anp-12mkrn18-p5 мкр. 12-й, д. 18
10.228.85.253 es1-anp-vlad143-2 Владимирская, д. 143/к.2
10.228.85.167 es2-anp-lermon119 Лермонтова, д. 119
10.228.85.194 es1-anp-krylova81 Крылова, д. 81
10.228.85.247 es2-anp-lenina181-p3 Ленина, д. 181
10.228.85.244 es1-anp-lenina215 Ленина, д. 215
10.228.85.164 es2-anp-astrah84 Астраханская, д. 84
10.228.85.180 es1-anp-prom9-p3 Промышленная, д. 9
10.228.85.111 es1-anp-vlad136-2 Владимирская, д. 136/20/стр. 2
10.228.85.218 es2-anp-gorkogo66-p2 Горького, д. 66
10.228.85.182 es1-anp-lermon120-p1 Лермонтова, д. 120
10.228.85.198 es1-anp-krylova85-p2 Крылова, д. 85
10.228.85.228 es1-anp-lenina183-p3 Ленина, д. 183
10.228.85.240 es4-anp-astrah84 Астраханская, д. 84
10.228.85.210 es1-anp-krylova17-5 Крылова, д. 17/к.5
10.228.85.211 es1-anp-krylova17-6 Крылова, д. 17/к.6
10.228.85.212 es1-anp-krylova6-p2 Крылова, д. 6
10.228.85.213 es1-anp-krylova6-p4 Крылова, д. 6
10.228.85.87 d1-anp-12mkrn30 мкр. 12-й, д. 30
10.228.88.12 es2-anp-evskina14a-p2 Евскина, д. 14/к.А
10.228.85.177 es1-anp-prom1-p2 Промышленная, д. 1
10.228.88.13 es2-anp-stahan13-p2 Стахановская, д. 13
10.228.85.206 d1-anp-vlad134-p8 Владимирская, д. 134/21
10.228.88.14 d1-anp-prom7a-p3 Промышленная, д. 7/к.А
10.228.88.16 d1-anp-lenina183-p3 Ленина, д. 183
10.228.88.17 d1-anp-lermon80-p3 Лермонтова, д. 80
10.228.88.18 d1-anp-pervomajskaya22 Первомайская, д. 22
10.228.88.19 d1-anp-lenina183-p2 Ленина, д. 183
10.228.88.20 d1-anp-lenina195-p1 Ленина, д. 195
10.228.88.112 d1-anp-lenina151-p6 Ленина, д. 151
10.228.88.24 d1-anp-lenina143-p2 Ленина, д. 143
10.228.88.8 d1-anp-prom9-p1 Промышленная, д. 9
10.228.88.25 d1-anp-shevch251-p1 Шевченко, д. 251
10.228.85.22 d1-anp-lenina175-p2 Ленина, д. 175
10.228.88.26 d1-anp-tersk190-p1 Терская, д. 190
10.228.88.27 d1-anp-krymskaya250 Крымская, д. 250
10.228.88.28 d1-anp-lenina195-p3 Ленина, д. 195
10.228.88.29 d1-anp-lenina183-p1 Ленина, д. 183
10.228.88.30 d1-anp-novorossijskaya238-p1 Новороссийская, д. 238
10.228.85.36 d1-anp-12mkrn6-p2 мкр. 12-й, д. 6
10.228.88.31 d2-anp-lenina183-p4 Ленина, д. 183
10.228.85.229 d2-anp-lenina175-p2 Ленина, д. 175
10.228.88.22 d1-anp-lenina195-p2 Ленина, д. 195
10.228.88.44 d1-anp-lenina167-p2 Ленина, д. 167
10.228.88.32 d1-anp-lenina178-1-p2 Ленина, д. 178/к.1
10.228.88.33 d1-anp-lenina178-2-p2 Ленина, д. 178/к.2
10.228.88.36 d1-anp-lenina180-1-p2 Ленина, д. 180/к.1
10.228.88.37 d1-anp-lenina180-2-p2 Ленина, д. 180/к.2
10.228.88.38 d1-anp-lenina180-3-p2 Ленина, д. 180/к.3
10.228.88.39 d1-anp-lenina180-4-p2 Ленина, д. 180/к.4
10.228.88.34 d1-anp-lenina178-3-p1 Ленина, д. 178/к.3
10.228.88.35 d1-anp-lenina178-4-p1 Ленина, д. 178/к.4
10.228.88.40 d1-anp-lenina180-5-p2 Ленина, д. 180/к.5
10.228.88.41 d1-anp-lenina180-6-p1 Ленина, д. 180/к.6
10.228.88.42 d1-anp-lenina180-7-p1 Ленина, д. 180/к.7
10.228.88.43 d1-anp-lenina180-8-p2 Ленина, д. 180/к.8
10.228.88.45 d1-anp-parkovaya64-1-p1 Парковая, д. 64/к.1
10.228.86.60 sm1-anp-parkovaya62b Парковая, д. 62 б
10.228.88.46 d1-anp-parkovaya64-2-p1 Парковая, д. 64/к.2
10.228.88.47 d1-anp-parkovaya64-3-p1 Парковая, д. 64/к.3
10.228.88.49 d1-anp-parkovaya64-4-p1 Парковая, д. 64/к.4
10.228.88.50 d1-anp-parkovaya64-4-p2 Парковая, д. 64/к.4
10.228.88.51 d1-anp-parkovaya64-5-p1 Парковая, д. 64/к.5
10.228.88.52 d1-anp-parkovaya64-5-p2 Парковая, д. 64/к.5
10.228.88.54 d1-anp-parkovaya64a-2-p1 Парковая, д. 64А/к.2
10.228.88.68 d1-anp-parkovaya64a-9-p1 Парковая, д. 64А/9
10.228.88.69 d1-anp-parkovaya64a-9-p2 Парковая, д. 64А/9
10.228.88.66 d1-anp-parkovaya64a-8-p1 Парковая, д. 64А/к.8
10.228.88.67 d1-anp-parkovaya64a-8-p2 Парковая, д. 64А/к.8
10.228.88.64 d1-anp-parkovaya64a-7-p1 Парковая, д. 64А/к.7
10.228.88.65 d1-anp-parkovaya64a-7-p2 Парковая, д. 64А/к.7
10.228.88.58 d1-anp-parkovaya64a-4-p1 Парковая, д. 64А/к.4
10.228.88.59 d1-anp-parkovaya64a-4-p2 Парковая, д. 64А/к.4
10.228.85.18 d1-anp-krylova6-p2 Крылова, д. 6
10.228.88.48 d1-anp-parkovaya64-3-p2 Парковая, д. 64/к.3
10.228.88.56 d1-anp-krymskaya181 Крымская, д. 181
10.228.88.53 d1-anp-parkovaya64a-1-p2 Парковая, д. 64А/к.1
10.228.88.57 d1-anp-parkovaya64a-3-p1 Парковая, д. 64А/к.3
10.228.88.55 d1-anp-parkovaya64a-3-p2 Парковая, д. 64А/к.3
10.228.88.60 d1-anp-parkovaya64a-5-p1 Парковая, д. 64А/к.5
10.228.88.61 d1-anp-parkovaya64a-5-p2 Парковая, д. 64А/к.5
10.228.88.62 d1-anp-parkovaya64a-6-p1 Парковая, д. 64А/к.6
10.228.88.63 d1-anp-parkovaya64a-6-p2 Парковая, д. 64А/к.6
10.228.88.87 d1-anp-stahan14-p1 Стахановская, д. 14
10.228.88.88 d1-anp-stahan16-p1 Стахановская, д. 16
10.228.88.89 d1-anp-stahan16-p2 Стахановская, д. 16
10.228.88.73 d1-anp-obezdnaya39-p1 Объездная, д. 39
10.228.88.74 d1-anp-obezdnaya39-p2 Объездная, д. 39
10.228.88.75 d1-anp-obezdnaya39-p3 Объездная, д. 39
10.228.88.76 d1-anp-obezdnaya39-p4 Объездная, д. 39
10.228.88.77 d1-anp-obezdnaya39-p5 Объездная, д. 39
10.228.88.78 d1-anp-obezdnaya39-p6 Объездная, д. 39
10.228.88.79 d1-anp-obezdnaya39-2-p1 Объездная, д. 39/к.2
10.228.88.80 d1-anp-obezdnaya39-2-p2 Объездная, д. 39/к.2
10.228.88.81 d1-anp-obezdnaya39-2-p3 Объездная, д. 39/к.2
10.228.88.82 d1-anp-obezdnaya39-2-p4 Объездная, д. 39/к.2
10.228.88.83 d1-anp-obezdnaya39-2-p5 Объездная, д. 39/к.2
10.228.88.84 d1-anp-obezdnaya39-3-p1 Объездная, д. 39/к.3
10.228.88.85 d1-anp-obezdnaya39-3-p2 Объездная, д. 39/к.3
10.228.88.86 d1-anp-obezdnaya39-3-p3 Объездная, д. 39/к.3
10.228.88.96 d1-anp-sypseh26-10-p1 Супсехское, д. 26/к.10
10.228.88.97 d1-anp-sypseh26-10-p2 Супсехское, д. 26/к.10
10.228.88.98 d1-anp-sypseh26-10-p3 Супсехское, д. 26/к.10
10.228.88.93 d1-anp-sypseh26-9-p1 Супсехское, д. 26/к.9
10.228.88.94 d1-anp-sypseh26-9-p2 Супсехское, д. 26/к.9
10.228.88.95 d1-anp-sypseh26-9-p3 Супсехское, д. 26/к.9
10.228.88.90 d1-anp-sypseh26-8-p1 Супсехское, д. 26/к.8
10.228.88.91 d1-anp-sypseh26-8-p2 Супсехское, д. 26/к.8
10.228.88.92 d1-anp-sypseh26-8-p3 Супсехское, д. 26/к.8
10.228.85.34 d1-anp-kosmonavt34-p3 Космонавтов, д. 34
10.228.88.70 d1-anp-lenina195-p4 Ленина, д. 195
10.228.88.105 d1-anp-sypseh26-7-p2 Супсехское, д. 26/к.7
10.228.88.103 d1-anp-sypseh26-p1 Супсехское, д. 26
10.228.88.104  d1-anp-sypseh26-p2 Супсехское, д. 26
10.228.88.102 d1-anp-sypseh26-5-p2 Супсехское, д. 26/к.5
10.228.88.106 d1-anp-sypseh26-1-p2 Супсехское, д. 26/к.1
10.228.88.101 d1-anp-sypseh26-4-p2 Супсехское, д. 26/к.4
10.228.88.99 d1-anp-sypseh26-3-p1 Супсехское, д. 26/к.3
10.228.88.100 d1-anp-sypseh26-3-p2 Супсехское, д. 26/к.3
10.228.88.107 d1-anp-sypseh26-2-p2 Супсехское, д. 26/к.2
10.228.85.205 es2-anp-lenina157-p4 Ленина, д. 157
10.228.88.71 d1-anp-novoros264-p2 Новороссийская, д. 264
10.228.88.72 d1-anp-shevch241-p1 Шевченко, д. 241
10.228.85.235 es2-anp-lenina165-p1 Ленина, д. 165
10.228.85.4 es2-anp-krymskaya171-p2 Крымская, д. 171
10.228.85.179 d1-anp-prom9-p2 Промышленная, д. 9
10.228.85.115 es2-anp-chehova4a Чехова, д. 4/к.А
10.228.85.173 d1-anp-prom7a-p1 Промышленная, д. 7/к.А
10.228.85.248 d1-anp-krylova6-p4 Крылова, д. 6
10.228.85.21 es2-anp-kosmonavt34-p2 Космонавтов, д. 34
10.228.86.10 jm1-anp-krasno-zelenyh6 Красно-зеленых, д. 6
10.228.86.11 jm2-anp-krasno-zelenyh6 Красно-зеленых, д. 6
10.228.88.109 d1-anp-lenina219-p2 Ленина, д. 219
10.228.88.11 es2-anp-chehova2-p6 Чехова, д. 2
0.0.0.0 стоит в сети Прогтех Пионерский, д. 28
10.228.88.115 es2-anp-12mkrn6-p1 мкр. 12-й, д. 6
10.228.85.148 d1-anp-lenina161 Ленина, д. 161
10.228.85.135 d2-anp-lenina161 Ленина, д. 161
10.228.88.116 es2-anp-krylova12-p1 Крылова, д. 12
10.228.88.113 es2-anp-12mkrn21-p1 мкр. 12-й, д. 21
10.228.86.13 jm3-anp-vlad140 Владимирская, д. 140
10.228.95.4 jm4-anp-vlad140 Владимирская, д. 140
10.229.105.96 d1-anp-lenina185a-2 Ленина, д. 185А/к.2
10.229.101.18 d1-anp-stanichnaya30v-p3 Станичная, д. 30В
10.229.106.81 d1-anp-shevchenko288a-2-p6 Шевченко, д. 288А/к.2
10.229.100.62 d1-anp-rozhdest54-p1 Рождественская, д. 54
10.229.106.154 d2-anp-turgeneva250-p5 Тургенева, д. 250
10.229.103.163 d1-anp-astrakhan84b-p3 Астраханская, д. 84Б
10.229.104.48 d2-anp-solovianovoi84-86-p1 Кати Соловьяновой, д. 84
10.229.106.96 d1-anp-samburova252 Самбурова, д. 252
10.229.100.77 d1-anp-zavodskaya28d-p3 Заводская, д. 28Д
10.229.106.50 d1-anp-novoros308 Новороссийская, д. 308
10.229.105.147 d1-anp-lenina180a-9 Ленина, д. 180А/к.9
10.229.101.44 d1-anp-rodnik2-3 Родниковая, д. 2/3
10.229.101.77 d1-anp-proezdsevernyi1-p10 Северный, д. 1
10.229.108.63 d1-anp-lenina196-p3 Ленина, д. 196
10.229.105.11 d3-anp-mayakovskogo5 Маяковского, д. 5
10.229.99.117 d1-anp-obezdnaya36-2 Объездная, д. 36
10.229.99.90 d1-anp-obezdnaya36-1 Объездная, д. 36
10.229.106.172 d1-anp-turgeneva260-p1 Тургенева, д. 260
10.229.100.37 d1-anp-krasnodarsk66-p2 Краснодарская, д. 66
10.229.101.168 d1-anp-anapskoe73a-p1 Анапское, д. 73А
10.229.100.10 d1-anp-mayakovskogo161-p2 Маяковского, д. 161
10.229.101.114 d1-anp-solnechnaya54-p5 Солнечная, д. 54
10.229.101.112 d1-anp-solnechnaya54-p2 Солнечная, д. 54
10.229.105.32 d2-anp-golubtsa103-p3 Ивана Голубца, д. 103
10.229.100.168 d1-anp-parkovaya61-1 Парковая, д. 61/к.1
10.229.100.155 d1-anp-perpokrovskii10 Покровский, д. 10
10.229.101.111 d1-anp-solnechnaya54-p4 Солнечная, д. 54
10.229.103.82 d2-anp-lermontova116-1-p1 Лермонтова, д. 116/к.1
10.229.104.45 d1-anp-protapova104-p2 Протапова, д. 104
10.229.106.101 d1-anp-krim274-p8 Крымская, д. 274
