10.228.68.187 qs3-kdr-prom21-9-p2 Промышленная, д. 21/к.9
10.228.68.171 qs3-kdr-prom21-10-p2 Промышленная, д. 21/к.10
10.228.68.184 qs1-kdr-prom23-p1 Промышленная, д. 23
10.228.68.185 qs2-kdr-prom23-p3 Промышленная, д. 23
10.228.68.163 qs2-kdr-prom25-5-p1 Промышленная, д. 25/к.5
10.228.68.164 qs1-kdr-prom25-5-p1 Промышленная, д. 25/к.5
10.228.68.169 qs2-kdr-prom19-2-p2 Промышленная, д. 19/к.2
10.228.68.170 qs1-kdr-prom19-2-p2 Промышленная, д. 19/к.2
10.228.68.175 qs1-kdr-prom38-p2 Промышленная, д. 38
10.228.68.174 qs2-kdr-prom38-p2 Промышленная, д. 38
10.228.68.68 qs2-kdr-prom94-p3 Промышленная, д. 94
10.228.68.167 qs1-kdr-prom19-1 Промышленная, д. 19/к.1
10.228.73.35 qs2-kdr-prom43-p5 Промышленная, д. 43
10.228.73.36 qs1-kdr-prom43-p2 Промышленная, д. 43
10.228.68.153 qs1-kdr-prom21-4-p1 Промышленная, д. 21/к.4
10.228.68.148 qs2-kdr-prom21-2-p1 Промышленная, д. 21/к.2
10.228.68.191 qs3-kdr-prom21-1-p2 Промышленная, д. 21/к.1
10.228.68.203 qs4-kdr-prom21-1-p2 Промышленная, д. 21/к.1
10.228.64.57 qs1-kdr-rahman3-p2 Рахманинова С.В., д. 3
10.228.66.44 qs1-kdr-marksa14-p2 Карла Маркса, д. 14
10.228.71.67 qs1-kdr-karyakina15-p3 Карякина, д. 15
10.228.71.69 qs1-kdr-karyakina15-p6 Карякина, д. 15
10.228.71.74 qs1-kdr-karyakina19-p1 Карякина, д. 19
10.228.71.75 qs1-kdr-karyakina19-p3 Карякина, д. 19
10.228.71.76 d2-kdr-karyakina19-p4 Карякина, д. 19
10.228.71.70 qs1-kdr-karyakina21-p2 Карякина, д. 21
10.228.71.71 qs1-kdr-karyakina21-p1 Карякина, д. 21
10.228.71.9 qs1-kdr-karyakina17-p2 Карякина, д. 17
10.228.71.43 qs1-kdr-karyakina25-p3 Карякина, д. 25
10.228.71.29 qs2-kdr-karyakina22-p3 Карякина, д. 22
10.228.71.31 qs2-kdr-karyakina22-p2 Карякина, д. 22
10.228.71.33 qs2-kdr-karyakina22-p1 Карякина, д. 22
10.228.64.238 qs2-kdr-kozhev54-1 Кожевенная, д. 54/к.1
10.228.64.240 qs1-kdr-kozhev58-p1 Кожевенная, д. 58
10.228.64.239 qs1-kdr-kozhev60 Кожевенная, д. 60
10.228.70.5 qs1-kdr-kozhev62-p2 Кожевенная, д. 62
10.228.70.7 qs2-kdr-kozhev62-p1 Кожевенная, д. 62
10.228.64.251 qs1-kdr-kozhev54-2 Кожевенная, д. 54/к.2
10.228.64.46 qs2-kdr-kolhoz63-p2 Колхозная, д. 63
10.228.71.51 qs1-kdr-kotlyarova15 Котлярова Н.С., д. 15
10.228.71.12 qs1-kdr-kotlyarova11-p5 Котлярова Н.С., д. 11
10.228.71.14 qs1-kdr-kotlyarova1-p1 Котлярова Н.С., д. 1
10.228.71.16 qs1-kdr-kotlyarova1-p2 Котлярова Н.С., д. 1
10.228.71.17 qs2-kdr-kotlyarova1-p2 Котлярова Н.С., д. 1
10.228.65.251 qs2-kdr-kotlyarova5-p2 Котлярова Н.С., д. 5
10.228.71.47 qs1-kdr-kotlyarova7-p2 Котлярова Н.С., д. 7
10.228.64.83 qs1-kdr-krasnaya202-b2b Красная, д. 202
10.228.64.87 d2-kdr-krasnaya163-p2 Красная, д. 163
10.228.64.222 qs1-kdr-krasnpar75-p5 Красных Партизан, д. 75
10.228.64.246 qs1-kdr-krasnpar248-p3 Красных Партизан, д. 248
10.228.64.165 qs1-kdr-krasnpar161-3-p2 Красных Партизан, д. 161/к.3
10.228.64.166 qs2-kdr-krasnpar161-3-p2 Красных Партизан, д. 161/к.3
10.228.64.170 qs1-kdr-krasnpar161-1-p7 Красных Партизан, д. 161/к.1
10.228.64.107 qs2-kdr-krasnpar161-1-p3 Красных Партизан, д. 161/к.1
10.228.64.100 qs1-kdr-krasnpar157-p3 Красных Партизан, д. 157
10.228.64.102 qs1-kdr-krasnpar157-p7 Красных Партизан, д. 157
10.228.64.96 qs1-kdr-krasnpar155-p3 Красных Партизан, д. 155
10.228.64.98 qs1-kdr-krasnpar155-p7 Красных Партизан, д. 155
10.228.64.99 qs2-kdr-krasnpar155-p7 Красных Партизан, д. 155
10.228.64.218 qs1-kdr-krasnpar81-p2 Красных Партизан, д. 81
10.228.64.17 qs2-kdr-krim69-p3 Крымская, д. 69
10.228.64.14 es1-kdr-kurch6-p2 Курчатова, д. 6
10.228.68.176 qs2-kdr-levan191-p7 Леваневского, д. 191
10.228.68.178 qs3-kdr-levan191-p3 Леваневского, д. 191
10.228.76.204 d2-kdr-nevki19-p3 Невкипелого, д. 19
10.228.76.93 qs1-kdr-nevki25-p3 Невкипелого, д. 25
10.228.76.201 d1-kdr-nevki31-p1 Невкипелого, д. 31
10.228.67.78 qs1-kdr-obraz22-p1 Константина Образцова, д. 22
10.228.64.243 q1-kdr-odessk25-p2 Одесская, д. 25
10.228.67.125 qs1-kdr-olimp6-p2 Олимпийская, д. 6
10.228.68.213 qs1-kdr-platan5-p3 Платановый Бульвар, д. 5
10.228.68.206 qs1-kdr-platan19-1-p3 Платановый Бульвар, д. 19/к.1
10.228.68.207 qs1-kdr-platan19-1-p5 Платановый Бульвар, д. 19/к.1
10.228.68.211 qs1-kdr-platan9-p3 Платановый Бульвар, д. 9
10.228.73.158 qs1-kdr-staso117-p1 Стасова, д. 117
10.228.75.13 d1-kdr-staso158 Стасова, д. 158
10.228.75.14 d1-kdr-staso158-p2 Стасова, д. 158
10.228.73.193 qs1-kdr-staso157-p2 Стасова, д. 157
10.228.73.172 qs1-kdr-staso144-p2 Стасова, д. 144
10.228.64.174 qs1-kdr-suzdal14 Суздальская, д. 14
10.228.64.131 qs1-kdr-suzdal15 Суздальская, д. 15
10.228.64.140 es1-kdr-suzdal15 Суздальская, д. 15
10.228.64.141 es1-kdr-suzdal10-p3 Суздальская, д. 10
10.228.64.95 qs1-kdr-temr73-p3 Темрюкская, д. 73
10.228.64.109 qs2-kdr-temr62-p5 Темрюкская, д. 62
10.228.64.152 qs3-kdr-temr62-p5 Темрюкская, д. 62
10.228.64.207 qs1-kdr-temr66-p2 Темрюкская, д. 66
10.228.64.213 qs2-kdr-temr70-p2 Темрюкская, д. 70
10.228.64.214 qs1-kdr-temr70-p5 Темрюкская, д. 70
10.228.64.25 qs1-kdr-temr72-p2 Темрюкская, д. 72
10.228.64.28 qs2-kdr-temr72-p5 Темрюкская, д. 72
10.228.64.30 qs2-kdr-temr74-p2 Темрюкская, д. 74
10.228.64.31 qs1-kdr-temr74-p5 Темрюкская, д. 74
10.228.64.147 qs1-kdr-temr60-p2 Темрюкская, д. 60
10.228.64.149 qs2-kdr-temr65-p3 Темрюкская, д. 65
10.228.64.150 qs1-kdr-temr65-p3 Темрюкская, д. 65
10.228.64.105 qs2-kdr-temr69-p3 Темрюкская, д. 69
10.228.64.24 qs3-kdr-temr68-1-p2 Темрюкская, д. 68/к.1
10.228.64.210 qs1-kdr-temr68-1-p2 Темрюкская, д. 68/к.1
10.228.64.36 qs2-kdr-tolb89-p2 Толбухина, д. 89
10.228.64.13 es1-kdr-tolb91-p2 Толбухина, д. 91
10.228.76.96 d1-kdr-trudo30-p3 Трудовой Славы, д. 30
